Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Integrating request replication into FaaS platforms: an experimental evaluation,Journal of Cloud Computing,,,,10.1186/s13677-023-00457-z,Yasmina BouizemDjawida DibNikos ParlavantzasChristine Morin,2023,https://link.springer.com/article/10.1186/s13677-023-00457-z,Article
Fairness as a Service (FaaS): verifiable and privacy-preserving fairness auditing of machine learning systems,International Journal of Information Security,,,,10.1007/s10207-023-00774-z,Ehsan ToreiniMaryam MehrnezhadAad van Moorsel,2023,https://link.springer.com/article/10.1007/s10207-023-00774-z,Article
Beyond Cloud: Serverless Functions in the Compute Continuum,SN Computer Science,,,,10.1007/s42979-025-03699-7,Cecilia CalavaroValeria CardelliniFrancesco Lo PrestiGabriele Russo Russo,2025,https://link.springer.com/article/10.1007/s42979-025-03699-7,Article
A sensitive determination of lead by hydride generation integrated with micro-sampling gas–liquid separator-FAAS after preconcentration by NiFe<sub>2</sub>O<sub>4</sub> nanoparticles,Scientific Reports,,,,10.1038/s41598-025-87759-1,Merve Fırat AyyıldızSüleyman BodurSezgin Bakırdere,2025,https://link.springer.com/article/10.1038/s41598-025-87759-1,Article
Secure FaaS orchestration in the fog: how far are we?,Computing,,,,10.1007/s00607-021-00924-y,Alessandro BocciStefano FortiGian-Luigi FerrariAntonio Brogi,2021,https://link.springer.com/article/10.1007/s00607-021-00924-y,Article
Latency and resource consumption analysis for serverless edge analytics,Journal of Cloud Computing,,,,10.1186/s13677-023-00485-9,Rafael Moreno-VozmedianoEduardo HuedoRubén S. MonteroIgnacio M. Llorente,2023,https://link.springer.com/article/10.1186/s13677-023-00485-9,Article
Variation analysis and quantitative trait loci mapping of 16 free amino acid traits in the tea plant (<i>Camellia sinensis</i>),BMC Plant Biology,,,,10.1186/s12870-024-06038-9,Dongyang ZhangXujiao WeiJing ZhangDong CuiPeng ZhangShengxiang ChenYao ZouWei ChenDandan TangChen LiuJinlin BianQian TangLiqiang Tan,2025,https://link.springer.com/article/10.1186/s12870-024-06038-9,Article
Advancements in toxic elements extraction for enhanced instrumental profiling,Discover Applied Sciences,,,,10.1007/s42452-025-06940-3,Suryapratap RayChitra JangidSrihari SupreetheeK. F. Gracy AnuSumit Sudhir PathakPooja ChavanRahul Vashishth,2025,https://link.springer.com/article/10.1007/s42452-025-06940-3,Article
Skyrise: Exploiting Serverless Cloud Infrastructure for Elastic Data Processing,Datenbank-Spektrum,,,,10.1007/s13222-025-00496-7,Thomas BodnerDaniel RitterMartin BoissierTilmann Rabl,2025,https://link.springer.com/article/10.1007/s13222-025-00496-7,Article
Development of BaSrTiO<sub>3</sub> nanomaterial based dispersive solid phase microextraction method for cadmium determination in thyme samples using flame atomic absorption spectrometry,Scientific Reports,,,,10.1038/s41598-025-08464-7,Selim GürsoyCaner KorkmazElif Öztürk ErSezgin Bakirdere,2025,https://link.springer.com/article/10.1038/s41598-025-08464-7,Article
