Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Latency and resource consumption analysis for serverless edge analytics,Journal of Cloud Computing,,,,10.1186/s13677-023-00485-9,Rafael Moreno-VozmedianoEduardo HuedoRubén S. MonteroIgnacio M. Llorente,2023,https://link.springer.com/article/10.1186/s13677-023-00485-9,Article
Skyrise: Exploiting Serverless Cloud Infrastructure for Elastic Data Processing,Datenbank-Spektrum,,,,10.1007/s13222-025-00496-7,Thomas BodnerDaniel RitterMartin BoissierTilmann Rabl,2025,https://link.springer.com/article/10.1007/s13222-025-00496-7,Article
On the Performance of Geospatial Services Deployment: An Experimental Benchmark Analysis,Journal of Grid Computing,,,,10.1007/s10723-025-09806-5,Fabio FranchiFrancesco SmarraEleonora Di FinaAlessandra Galassi,2025,https://link.springer.com/article/10.1007/s10723-025-09806-5,Article
<i>F</i>u<i>n</i>Da: scalable serverless data analytics and in situ query processing,Journal of Big Data,,,,10.1186/s40537-025-01141-6,Elyes LounissiSuvam Kumar DasRonnit PeterXiaozheng ZhangSuprio RayLianyin Jia,2025,https://link.springer.com/article/10.1186/s40537-025-01141-6,Article
Towards GPU-enabled serverless cloud edge platforms for accelerating HEVC video coding,Cluster Computing,,,,10.1007/s10586-024-04692-0,Andoni Salcedo-NavarroRaúl Peña-OrtizJose M. ClaverMiguel Garcia-PinedaJuan Gutiérrez-Aguado,2024,https://link.springer.com/article/10.1007/s10586-024-04692-0,Article
Beyond Cloud: Serverless Functions in the Compute Continuum,SN Computer Science,,,,10.1007/s42979-025-03699-7,Cecilia CalavaroValeria CardelliniFrancesco Lo PrestiGabriele Russo Russo,2025,https://link.springer.com/article/10.1007/s42979-025-03699-7,Article
Foresight plus: serverless spatio-temporal traffic forecasting,GeoInformatica,,,,10.1007/s10707-024-00517-9,Joe OakleyChris ConlanGunduz Vehbi DemirciAlexandros SfyridisHakan Ferhatosmanoglu,2024,https://link.springer.com/article/10.1007/s10707-024-00517-9,Article
A systematic review on security mechanisms for serverless computing,Cluster Computing,,,,10.1007/s10586-025-05371-4,Pedro EscaleiraVitor A. CunhaJoão P. BarracaDiogo GomesRui L. Aguiar,2025,https://link.springer.com/article/10.1007/s10586-025-05371-4,Article
"Data pipeline approaches in serverless computing: a taxonomy, review, and research trends",Journal of Big Data,,,,10.1186/s40537-024-00939-0,Zahra Shojaee RadMostafa Ghobaei-Arani,2024,https://link.springer.com/article/10.1186/s40537-024-00939-0,Article
SPEI-FL: Serverless Privacy Edge Intelligence-Enabled Federated Learning in Smart Healthcare Systems,Cognitive Computation,,,,10.1007/s12559-024-10310-3,Mahmuda AkterNour MoustafaBenjamin Turnbull,2024,https://link.springer.com/article/10.1007/s12559-024-10310-3,Article
Technology adoption performance evaluation applied to testing industrial REST APIs,Automated Software Engineering,,,,10.1007/s10515-024-00477-2,Alexander PothOlsi RrjolliAndrea Arcuri,2024,https://link.springer.com/article/10.1007/s10515-024-00477-2,Article
FlowLoader: an efficient large language model loader via parallel transmissions and local multi-tier caching,The Journal of Supercomputing,,,,10.1007/s11227-025-07646-4,Jun YinFei WuShihao LiPeng Huang,2025,https://link.springer.com/article/10.1007/s11227-025-07646-4,Article
Fast DRL-based scheduler configuration tuning for reducing tail latency in edge-cloud jobs,Journal of Cloud Computing,,,,10.1186/s13677-023-00465-z,Shilin WenRui HanChi Harold LiuLydia Y. Chen,2023,https://link.springer.com/article/10.1186/s13677-023-00465-z,Article
Toward security quantification of serverless computing,Journal of Cloud Computing,,,,10.1186/s13677-024-00703-y,Kan NiSubrota Kumar MondalH M Dipu KabirTian TanHong-Ning Dai,2024,https://link.springer.com/article/10.1186/s13677-024-00703-y,Article
Exploring the impact of chaos engineering with various user loads on cloud native applications: an exploratory empirical study,Computing,,,,10.1007/s00607-024-01292-z,Amro Al-Said AhmadLamis F. Al-Qora’nAhmad Zayed,2024,https://link.springer.com/article/10.1007/s00607-024-01292-z,Article
Cloud-edge hybrid deep learning framework for scalable IoT resource optimization,Journal of Cloud Computing,,,,10.1186/s13677-025-00729-w,Umesh Kumar LilhoreSarita SimaiyaYogesh Kumar SharmaAnjani Kumar RaiS. M. PadmajaKhan Vajid NabilalVimal KumarRoobaea AlroobaeaHamed Alsufyani,2025,https://link.springer.com/article/10.1186/s13677-025-00729-w,Article
Enriching computing simulators by generating realistic serverless traces,Journal of Cloud Computing,,,,10.1186/s13677-023-00397-8,Dilshad Hassan SalloGabor Kecskemeti,2023,https://link.springer.com/article/10.1186/s13677-023-00397-8,Article
Event-Driven Serverless Pipelines for Video Coding and Quality Metrics,Journal of Grid Computing,,,,10.1007/s10723-023-09647-0,Wilmer Moina-RiveraMiguel Garcia-PinedaJose M. ClaverJuan Gutiérrez-Aguado,2023,https://link.springer.com/article/10.1007/s10723-023-09647-0,Article
An efficient model to estimate and optimise the cloud migration costs from on-premises web apps,Discover Computing,,,,10.1007/s10791-025-09666-3,Vijay PrakashAjay KumarMohd ShahidLalit GargSeema Bawa,2025,https://link.springer.com/article/10.1007/s10791-025-09666-3,Article
<i>ReactiveFnJ</i>: A choreographed model for Fork-Join Workflow in Serverless Computing,Journal of Cloud Computing,,,,10.1186/s13677-023-00429-3,Urmil BhartiAnita GoelS. C. Gupta,2023,https://link.springer.com/article/10.1186/s13677-023-00429-3,Article
Understanding Cost Dynamics of Serverless Computing: An Empirical Study,Software Business,,,,10.1007/978-3-031-53227-6_32,Muhammad HamzaMuhammad Azeem AkbarRafael Capilla,2024,https://link.springer.com/chapter/10.1007/978-3-031-53227-6_32,Conference paper
Survey on serverless computing,Journal of Cloud Computing,,,,10.1186/s13677-021-00253-7,Hassan B. HassanSaman A. BarakatQusay I. Sarhan,2021,https://link.springer.com/article/10.1186/s13677-021-00253-7,Article
Serverless computing: a security perspective,Journal of Cloud Computing,,,,10.1186/s13677-022-00347-w,Eduard MarinDiego PerinoRoberto Di Pietro,2022,https://link.springer.com/article/10.1186/s13677-022-00347-w,Article
Leveraging an open source serverless framework for high energy physics computing,The Journal of Supercomputing,,,,10.1007/s11227-022-05016-y,Vincenzo Eduardo PadulanoPablo Oliver CortésPedro Alonso-JordáEnric Tejedor SaavedraSebastián RiscoGermán Moltó,2023,https://link.springer.com/article/10.1007/s11227-022-05016-y,Article
The Status-Quo in nested data processing for high-energy physics,The VLDB Journal,,,,10.1007/s00778-025-00924-w,Dan GraurIngo MüllerMason ProffittGhislain FournyGordon T. WattsGustavo Alonso,2025,https://link.springer.com/article/10.1007/s00778-025-00924-w,Article
